ra,dec,u,g,r,i,z,plate,mjd,fiberid
100.548106362742,0.871296277267485,19.28862,16.88878,15.6196,15.03223,14.65618,7258,56605,670
100.577538847355,0.983536009582204,17.41036,15.94985,14.55322,14.9819,14.71391,7258,56605,662
100.586597662223,0.917801533944799,16.7416,15.60451,16.49618,14.63282,14.38672,7258,56605,666
100.590073257932,1.00675709635074,19.73698,17.03719,15.50544,14.75874,14.21937,7258,56605,661
100.634676456824,0.896531307396202,17.10013,15.42124,15.87082,14.6468,14.47865,7258,56605,706
100.801339136711,0.853048607127963,16.49076,15.18313,14.61465,14.54413,14.3678,7258,56605,703
100.88509362224,0.977439414004319,18.24422,16.2937,14.21063,14.84362,13.90272,7258,56605,743
100.92760068106,0.856884680409578,16.60649,15.18706,15.55809,14.3789,14.28242,7258,56605,744
100.93349410174,0.93861992377145,17.00585,15.85537,15.12328,14.14083,12.02015,7258,56605,742
101.05327092222,0.857437375771898,17.05618,15.59346,15.94641,14.60695,14.38923,7258,56605,788
101.079436512731,0.834836812852541,18.62137,16.21895,14.99955,14.43162,14.03488,7258,56605,787
101.094334215835,0.999610609073509,17.97859,15.96762,16.20336,14.22344,13.73208,7258,56605,782
101.259417015447,0.91422468706641,18.73403,16.31777,16.2157,14.32022,13.83862,7258,56605,826
101.297755013146,0.97847533343212,18.30011,16.39928,16.29603,15.13061,14.11489,7258,56605,865
101.23891975931,0.99497859786844,19.35255,16.86284,15.45628,14.73666,14.22962,7258,56605,824
101.347571442376,0.810727438437978,16.78295,15.08749,15.52118,13.33623,13.18111,7258,56605,870
101.664840634097,0.896847714882627,16.17565,15.043,14.67894,14.40544,14.25099,7258,56605,905
79.8926958386621,1.32818802399689,17.69596,16.55805,16.09452,15.91371,15.85574,7261,56603,492
79.9284314244534,1.42040952169918,16.90407,15.74499,15.38161,15.24726,15.2006,7261,56603,487
